name;info
The Man in the High Castle;['The Man in the High Castle', 'Amazon Prime Video', 'Drama` Sci-Fi` Thriller', 'In a dystopian America dominated by Nazi Germany and Imperial Japan` a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.', '4', 'https://m.media-amazon.com/images/M/MV5BZWEwNzQ4NzUtMWRmYS00NDdiLTg5NDItODA5M2M4YTM0ZTE2XkEyXkFqcGdeQXVyMTAzNjU2NjM1._V1_UX182_CR0`0`182`268_AL_.jpg']
Homecoming;['Homecoming', 'Amazon Prime Video', 'Drama` Thriller', 'Heidi works at Homecoming` a facility helping soldiers transition to civilian life. Years later when the Department of Defense questions why she left` Heidi realizes there^s a whole other story behind the one she^s been telling herself.', '2\xa0\xa0\n                                                    1', 'https://m.media-amazon.com/images/M/MV5BMTZlZDM2YjAtYzdjNS00ZDQxLTgyZTQtYTY0ZDdlYWExMGMxXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Sneaky Pete;['Sneaky Pete', 'Amazon Prime Video', 'Crime` Drama', 'A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate` Pete` reuniting with his estranged family` that threatens to drag him into a world just as dangerous as the one he^s escaping.', '3', 'https://m.media-amazon.com/images/M/MV5BMTc2OTExNDE3MF5BMl5BanBnXkFtZTgwMzk2MjU5NzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Good Omens;['Good Omens', 'Amazon Prime Video', 'Comedy` Fantasy', 'A tale of the bungling of Armageddon features an angel` a demon` an eleven-year-old Antichrist` and a doom-saying witch.', '1', 'https://m.media-amazon.com/images/M/MV5BOTI5Y2M3NmQtNDg5ZC00OTQ0LWEzOGYtMjM4Zjg0YzY0M2I0XkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Lord of the Rings;['The Lord of the Rings', 'Amazon Prime Video', 'Adventure` Fantasy', 'Lord of the Rings based TV-series` set during the 3`441-year period` known as the Age of Númenor` or the Second Age.', '1', 'https://m.media-amazon.com/images/M/MV5BMjM0ZDM1YzQtMjlmYy00YThlLTk2MmItNTM3NWRiZmUwYWViXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UY268_CR43`0`182`268_AL_.jpg']
Tin Star;['Tin Star', 'Amazon Prime Video', 'Crime` Drama` Thriller', 'Ex undercover UK cop turned police chief of a small town in the Canadian Rockies does what he must to defend his family from those in power whether it^s the oilmen` the preachers or the gangsters.', '3', 'https://m.media-amazon.com/images/M/MV5BMTY1MTEwOTIwMF5BMl5BanBnXkFtZTgwMDc0ODM0NzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Goliath;['Goliath', 'Amazon Prime Video', 'Drama', 'A disgraced lawyer` now an ambulance chaser` gets a case that could bring him redemption or at least revenge on the firm which expelled him.', '3', 'https://m.media-amazon.com/images/M/MV5BMTVhNWRmMmUtM2IxMi00NzhiLWIyZmMtMDJkYTNlYWZiNjc5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Absentia;['Absentia', 'Amazon Prime Video', 'Crime` Drama` Mystery', 'After being declared dead in absentia` an FBI agent must reclaim her family` identity and innocence when she finds herself the prime suspect in a string of murders.', '2', 'https://m.media-amazon.com/images/M/MV5BYzhjY2VjZmYtODkwOC00ODliLTg2NDQtMWI3NThjNjZhOGFhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0`0`182`268_AL_.jpg']
Lore;['Lore', 'Amazon Prime Video', 'Documentary` Horror', 'Our collective nightmare mythologies are rooted in real-life horror stories.', '2', 'https://m.media-amazon.com/images/M/MV5BMTk0MTk1MTQ0OF5BMl5BanBnXkFtZTgwMjYwOTYzNjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Forever;['Forever', 'Amazon Prime Video', 'Comedy` Drama` Fantasy', 'June and Oscar live a comfortable but very predictable suburban wedded life when suddenly they find themselves in a completely otherworldly situation` raising questions about love and marriage in the afterlife.', '1', 'https://m.media-amazon.com/images/M/MV5BMjQzNDQzMDQxOF5BMl5BanBnXkFtZTgwNTA4MTQwNjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Mad Dogs;['Mad Dogs', 'Amazon Prime Video', 'Comedy` Crime` Drama', 'A group of guys travel to Belize to see an old friend` when things take an unexpectedly dark turn.', '1', 'https://m.media-amazon.com/images/M/MV5BNDIzODg2NzM2M15BMl5BanBnXkFtZTgwMzM0MTk3NzE@._V1_UY268_CR4`0`182`268_AL_.jpg']
Carnival Row;['Carnival Row', 'Amazon Prime Video', 'Crime` Drama` Fantasy', 'A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world` where the city^s uneasy peace collapses when a string of murders reveals an unimaginable monster.', '2', 'https://m.media-amazon.com/images/M/MV5BMzIwM2FkMmEtNjQyZC00YThmLTg3ZjQtZGIyMWE3NjQwYTU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Electric Dreams;['Electric Dreams', 'Amazon Prime Video', 'Sci-Fi', 'A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.', '1', 'https://m.media-amazon.com/images/M/MV5BNGY4OTBiMTktMDM4Zi00MjVhLTgyNjctOGYzNGM5YzBlMjU5XkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_UX182_CR0`0`182`268_AL_.jpg']
Fortitude;['Fortitude', 'Amazon Prime Video', 'Drama` Horror` Mystery', 'Perched on the edge of the Arctic Circle` Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now.', '3', 'https://m.media-amazon.com/images/M/MV5BNzE1MGNmOGQtYWZkOS00MDExLWIzMjUtYmQxZTFlMzA5YjZhXkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_UX182_CR0`0`182`268_AL_.jpg']
White Dragon;['White Dragon', 'Amazon Prime Video', 'Crime` Drama` Thriller', 'Jonah Mulray is a professor whose world comes crashing down when his wife is killed in a car crash in Hong Kong.', '1', 'https://m.media-amazon.com/images/M/MV5BMjM4OTY1NzMwNl5BMl5BanBnXkFtZTgwMzA3OTMxNzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
